movieID,movieName,year,genre,averageRating
1,Toy Story ,1995,Adventure|Animation|Children|Comedy|Fantasy,3.9
2,Jumanji ,1995,Adventure|Children|Fantasy,3.4
3,Grumpier Old Men ,1995,Comedy|Romance,3.3
4,Waiting to Exhale ,1995,Comedy|Drama|Romance,2.4
5,Father of the Bride Part II ,1995,Comedy,3.1
6,Heat ,1995,Action|Crime|Thriller,3.9
7,Sabrina ,1995,Comedy|Romance,3.2
8,Tom and Huck ,1995,Adventure|Children,2.9
9,Sudden Death ,1995,Action,3.1
10,GoldenEye ,1995,Action|Adventure|Thriller,3.5
12,Dracula: Dead and Loving It ,1995,Comedy|Horror,2.4
13,Balto ,1995,Adventure|Animation|Children,3.1
14,Nixon ,1995,Drama,3.8
15,Cutthroat Island ,1995,Action|Adventure|Romance,3.0
16,Casino ,1995,Crime|Drama,3.9
17,Sense and Sensibility ,1995,Drama|Romance,3.8
18,Four Rooms ,1995,Comedy,3.7
19,Ace Ventura: When Nature Calls ,1995,Comedy,2.7
20,Money Train ,1995,Action|Comedy|Crime|Drama|Thriller,2.5
21,Get Shorty ,1995,Comedy|Crime|Thriller,3.5
22,Copycat ,1995,Crime|Drama|Horror|Mystery|Thriller,3.2
23,Assassins ,1995,Action|Crime|Thriller,3.1
24,Powder ,1995,Drama|Sci-Fi,3.1
25,Leaving Las Vegas ,1995,Drama|Romance,3.6
26,Othello ,1995,Drama,3.5
27,Now and Then ,1995,Children|Drama,3.3
28,Persuasion ,1995,Drama|Romance,4.2
31,Dangerous Minds ,1995,Drama,3.2
34,Babe ,1995,Children|Drama,3.7
36,Dead Man Walking ,1995,Crime|Drama,3.8
38,It Takes Two ,1995,Children|Comedy,2.1
39,Clueless ,1995,Comedy|Romance,3.3
41,Richard III ,1995,Drama|War,3.7
42,Dead Presidents ,1995,Action|Crime|Drama,3.0
43,Restoration ,1995,Drama,3.2
44,Mortal Kombat ,1995,Action|Adventure|Fantasy,2.5
45,To Die For ,1995,Comedy|Drama|Thriller,3.3
46,How to Make an American Quilt ,1995,Drama|Romance,3.1
48,Pocahontas ,1995,Animation|Children|Drama|Musical|Romance,3.1
49,When Night Is Falling ,1995,Drama|Romance,3.0
52,Mighty Aphrodite ,1995,Comedy|Drama|Romance,3.5
53,Lamerica ,1994,Adventure|Drama,5.0
55,Georgia ,1995,Drama,4.0
57,Home for the Holidays ,1995,Drama,3.1
61,Eye for an Eye ,1996,Drama|Thriller,3.8
62,Mr. Holland's Opus ,1995,Drama,3.7
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,1996,Comedy|Crime,2.7
64,Two if by Sea ,1996,Comedy|Romance,2.2
65,Bio-Dome ,1996,Comedy,2.5
66,Lawnmower Man 2: Beyond Cyberspace ,1996,Action|Sci-Fi|Thriller,2.5
69,Friday ,1995,Comedy,3.8
70,From Dusk Till Dawn ,1996,Action|Comedy|Horror|Thriller,3.5
71,Fair Game ,1995,Action,1.7
72,Kicking and Screaming ,1995,Comedy|Drama,3.2
74,Bed of Roses ,1996,Drama|Romance,4.0
75,Big Bully ,1996,Comedy|Drama,2.2
76,Screamers ,1995,Action|Sci-Fi|Thriller,3.4
77,Nico Icon ,1995,Documentary,4.0
81,Things to Do in Denver When You're Dead ,1995,Crime|Drama|Romance,3.1
83,Once Upon a Time... When We Were Colored ,1995,Drama|Romance,3.0
85,Angels and Insects ,1995,Drama|Romance,3.9
86,White Squall ,1996,Action|Adventure|Drama,4.0
87,Dunston Checks In ,1996,Children|Comedy,2.5
88,Black Sheep ,1996,Comedy,3.2
89,Nick of Time ,1995,Action|Thriller,3.3
92,Mary Reilly ,1996,Drama|Horror|Thriller,2.6
93,Vampire in Brooklyn ,1995,Comedy|Horror|Romance,2.8
94,Beautiful Girls ,1996,Comedy|Drama|Romance,4.0
95,Broken Arrow ,1996,Action|Adventure|Thriller,3.0
96,In the Bleak Midwinter ,1995,Comedy|Drama,3.5
99,Heidi Fleiss: Hollywood Madam ,1995,Documentary,5.0
100,City Hall ,1996,Drama|Thriller,2.8
101,Bottle Rocket ,1996,Adventure|Comedy|Crime|Romance,3.8
102,Mr. Wrong ,1996,Comedy,2.4
103,Unforgettable ,1996,Mystery|Sci-Fi|Thriller,3.0
104,Happy Gilmore ,1996,Comedy,3.4
107,Muppet Treasure Island ,1996,Adventure|Children|Comedy|Musical,3.3
108,Catwalk ,1996,Documentary,4.0
110,Braveheart ,1995,Action|Drama|War,4.0
111,Taxi Driver ,1976,Crime|Drama|Thriller,4.1
113,Before and After ,1996,Drama|Mystery,3.3
116,Anne Frank Remembered ,1995,Documentary,3.9
118,If Lucy Fell ,1996,Comedy|Romance,2.5
122,Boomerang ,1992,Comedy|Romance,2.7
125,Flirting With Disaster ,1996,Comedy,3.6
128,Jupiter's Wife ,1994,Documentary,3.0
129,Pie in the Sky ,1996,Comedy|Romance,2.0
132,Jade ,1995,Thriller,2.8
135,Down Periscope ,1996,Comedy,3.0
137,Man of the Year ,1995,Documentary,3.0
140,Up Close and Personal ,1996,Drama|Romance,3.5
145,Bad Boys ,1995,Action|Comedy|Crime|Drama|Thriller,3.2
149,Amateur ,1994,Crime|Drama|Thriller,2.0
150,Apollo 13 ,1995,Adventure|Drama|IMAX,3.8
151,Rob Roy ,1995,Action|Drama|Romance|War,3.5
153,Batman Forever ,1995,Action|Adventure|Comedy|Crime,2.9
155,Beyond Rangoon ,1995,Adventure|Drama|War,2.4
156,Blue in the Face ,1995,Comedy|Drama,3.3
157,Canadian Bacon ,1995,Comedy|War,2.9
158,Casper ,1995,Adventure|Children,2.8
159,Clockers ,1995,Crime|Drama|Mystery,2.9
160,Congo ,1995,Action|Adventure|Mystery|Sci-Fi,2.9
161,Crimson Tide ,1995,Drama|Thriller|War,3.6
162,Crumb ,1994,Documentary,4.2
163,Desperado ,1995,Action|Romance|Western,3.6
164,Devil in a Blue Dress ,1995,Crime|Film-Noir|Mystery|Thriller,3.3
165,Die Hard: With a Vengeance ,1995,Action|Crime|Thriller,3.6
168,First Knight ,1995,Action|Drama|Romance,3.1
169,Free Willy 2: The Adventure Home ,1995,Adventure|Children|Drama,2.4
170,Hackers ,1995,Action|Adventure|Crime|Thriller,3.2
171,Jeffrey ,1995,Comedy|Drama,3.8
172,Johnny Mnemonic ,1995,Action|Sci-Fi|Thriller,2.7
173,Judge Dredd ,1995,Action|Crime|Sci-Fi,2.7
174,Jury Duty ,1995,Comedy,2.7
175,Kids ,1995,Drama,4.0
176,Living in Oblivion ,1995,Comedy,4.3
177,Lord of Illusions ,1995,Horror,2.8
178,Love & Human Remains ,1993,Comedy|Drama,1.0
179,Mad Love ,1995,Drama|Romance,1.5
180,Mallrats ,1995,Comedy|Romance,3.4
181,Mighty Morphin Power Rangers: The Movie ,1995,Action|Children,2.3
183,Mute Witness ,1994,Comedy|Horror|Thriller,3.5
